"%s Slider","%s Slider"
"------- Please choose position -------","------- Please choose position -------"
"Action","Action"
"Active Form","Active Form"
"Active From","Active From"
"Active To","Active To"
"Add Active Class","Add Active Class"
"Add Slider","Add Slider"
"Add to Cart","Add to Cart"
"Allow Everything","Allow Everything"
"Apply for CMS Page, Static Block","Apply for CMS Page, Static Block"
"Apply for Template File .phtml","Apply for Template File .phtml"
"Apply for XML layout","Apply for XML layout"
"Are you sure?","Are you sure?"
"Auto Height","Auto Height"
"Auto Play","Auto Play"
"CSV","CSV"
"Change status","Change status"
"Content Top","Content Top"
"Customer Since","Customer Since"
"Delete","Delete"
"Delete Item","Delete Item"
"Disabled","Disabled"
"Display on the left of category pages.","Display on the left of category pages."
"Edit","Edit"
"Edit Item ","Edit Item "
"Edit Slider","Edit Slider"
"Elastic","Elastic"
"Enable","Enable"
"Enabled","Enabled"
"Fade","Fade"
"Featured Products","Featured Products"
"General","General"
"General Settings","General Settings"
"Homepage-Content-Top","Homepage-Content-Top"
"ID","ID"
"Implement","Implement"
"Implement Code","Implement Code"
"Item Manager","Item Manager"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items","Items"
"Items Manager","Items Manager"
"Lazy Loading","Lazy Loading"
"Mageplaza Extensions","Mageplaza Extensions"
"Manage Items","Manage Items"
"Manage sliders","Manage sliders"
"Menu Bottom","Menu Bottom"
"Menu Top","Menu Top"
"Mouse Drag","Mouse Drag"
"Name","Name"
"Navigation","Navigation"
"New Products","New Products"
"New Slider","New Slider"
"No","No"
"None","None"
"Out of stock","Out of stock"
"Page Bottom","Page Bottom"
"Pagination","Pagination"
"Popular positions","Popular positions"
"Position","Position"
"Product Slider","Product Slider"
"Product Sliders","Product Sliders"
"ProductSlider","ProductSlider"
"Save And Continue Edit","Save And Continue Edit"
"Save Item","Save Item"
"Settings","Settings"
"Show Addtocart","Show Addtocart"
"Show Description","Show Description"
"Show Name","Show Name"
"Show Price","Show Price"
"Show Rating","Show Rating"
"Show Review","Show Review"
"Sidebar Bottom Left","Sidebar Bottom Left"
"Sidebar Right Bottom","Sidebar Right Bottom"
"Sidebar Right Top","Sidebar Right Top"
"Sidebar Top Left","Sidebar Top Left"
"Slide","Slide"
"Slide Effect","Slide Effect"
"Slide Speed","Slide Speed"
"Slider Information","Slider Information"
"Slider Manager","Slider Manager"
"Slider Option","Slider Option"
"Source","Source"
"Status","Status"
"Stop on hover","Stop on hover"
"Store View","Store View"
"This slider no longer exists.","This slider no longer exists."
"Touch Drag","Touch Drag"
"Unable to find item to save","Unable to find item to save"
"XML","XML"
"Yes","Yes"
"backSlide","backSlide"
"fadeUp","fadeUp"
"goDown","goDown"
